ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,tx,ty,label,fsr_slope
13656,4597,-752,992,16820,-3,-9,11,-1866,-411,-18.66,-4.11,-1,10.760902255639097
13706,4999,-738,972,16522,188,-151,50,-1870,-399,-18.7,-3.99,-1,26.79548872180451
13756,6966,-664,1142,16710,463,-356,54,-1878,-396,-18.78,-3.96,-1,70.04887218045113
13806,11071,-264,1694,16736,1051,-473,-38,-1905,-422,-19.05,-4.22,1,162.88721804511277
13856,15923,332,3336,17740,1145,-313,-11,-1912,-435,-19.12,-4.35,1,314.6744360902256
13906,18829,652,4390,17392,1095,70,-149,-1921,-454,-19.21,-4.54,1,486.9451127819549
13956,19968,808,5382,16648,1090,233,-250,-1930,-481,-19.3,-4.81,1,652.5864661654135
14006,20960,-232,4416,16700,1648,-190,-63,-1933,-501,-19.33,-5.01,1,809.0706766917293
14056,22064,-46,7936,14974,1323,-259,-150,-1963,-843,-19.63,-8.43,1,954.1135338345865
14106,22511,854,8054,14894,1316,-352,-73,-2034,-1141,-20.34,-11.41,1,1079.2526315789473
14156,22862,1080,9844,14128,1144,-18,-255,-2043,-1187,-20.43,-11.87,1,1183.678947368421
14206,23066,284,10624,13780,1444,-31,-284,-2047,-1239,-20.47,-12.39,1,1264.26015037594
14256,23262,42,11250,13376,2098,4,-327,-2050,-1294,-20.5,-12.94,1,1320.8398496240602
14306,23489,-1972,11888,12682,1672,230,-483,-2039,-1353,-20.39,-13.53,1,1352.0902255639098
14356,23510,802,14556,8682,1839,2,-366,-2095,-2035,-20.95,-20.35,1,1354.46992481203
14406,23588,-2596,12426,10390,1920,243,-416,-1967,-2467,-19.67,-24.67,1,1327.990977443609
14456,23623,-2152,15480,6074,1371,309,-530,-1883,-3107,-18.83,-31.07,1,1274.1751879699248
14506,23627,-1622,15822,5346,1162,15,-178,-1840,-3698,-18.4,-36.98,1,1191.9255639097744
14556,23644,-2196,14514,7230,1155,239,-321,-1770,-4079,-17.7,-40.79,1,1083.1669172932332
14606,23546,-336,16638,3396,940,394,-559,-1810,-4642,-18.1,-46.42,1,944.3947368421053
14656,23460,-3204,15110,3882,1444,430,-573,-1686,-5018,-16.86,-50.18,1,777.5278195488722
14706,23344,-3304,15104,3492,1178,364,-505,-1575,-5349,-15.75,-53.49,1,586.9857142857143
14756,23329,-5502,15102,684,1430,218,-421,-1361,-5593,-13.61,-55.93,1,399.7007518796992
14806,23345,-3896,15610,-1680,1305,335,-360,-1270,-5875,-12.7,-58.75,1,252.85413533834586
14856,23313,-4038,15468,-422,1241,340,-255,-1182,-6121,-11.82,-61.21,1,163.70375939849623
14906,23234,-4272,15558,-2410,1060,444,-378,-1099,-6289,-10.99,-62.89,1,108.19624060150376
14956,23147,-5408,13444,-3460,1437,548,-482,-1077,-6292,-10.77,-62.92,-1,62.80601503759399
15006,22964,-5284,14344,-3052,1270,630,-553,-941,-6351,-9.41,-63.51,-1,25.68421052631579
15056,22975,-5486,13466,-6848,1280,448,-419,-822,-6251,-8.22,-62.51,-1,3.137593984962406
15106,22919,-4700,12858,-6432,1195,427,-287,-813,-6242,-8.13,-62.42,-1,-14.521052631578947
15156,22885,-7224,12208,-7826,981,322,-333,-616,-6038,-6.16,-60.38,-1,-27.736842105263158
15206,22823,-4202,12788,-8408,1197,377,-229,-615,-5936,-6.15,-59.36,-1,-38.65187969924812
15256,22868,-6402,10738,-10076,757,195,-153,-492,-5674,-4.92,-56.74,-1,-45.46390977443609
15306,23001,-5860,10794,-12278,308,38,-42,-486,-5637,-4.86,-56.37,-1,-46.19924812030075
15356,22977,-5620,11074,-10572,-198,-117,39,-433,-5432,-4.33,-54.32,-1,-46.21203007518797
15406,22843,-5318,11612,-10356,-513,-98,46,-407,-5290,-4.07,-52.9,-1,-46.106015037593984
15456,22750,-5730,11282,-9962,-595,-53,-86,-355,-5162,-3.55,-51.62,-1,-45.65563909774436
15506,22709,-5462,11748,-9288,-695,-123,-17,-324,-5098,-3.24,-50.98,-1,-44.41503759398496
15556,22716,-6414,12592,-9314,-783,-139,-100,-263,-5053,-2.63,-50.53,-1,-41.42556390977444
15606,22695,-4796,12404,-10004,-1075,-257,114,-294,-5017,-2.94,-50.17,-1,-38.88796992481203
15656,22455,-7742,14286,-5348,-1406,-372,165,-169,-5112,-1.69,-51.12,-1,-39.857142857142854
15706,22166,-4318,14720,-6568,-1000,-428,184,-241,-5273,-2.41,-52.73,-1,-45.275187969924815
15756,22128,-6110,13888,-3810,-622,-425,487,-182,-5419,-1.82,-54.19,-1,-49.7015037593985
15806,22205,-6910,14366,-3204,-851,-285,182,-99,-5536,-0.99,-55.36,-1,-50.96917293233083
15856,22225,-5666,14480,-4580,-819,-313,229,-100,-5654,-1.0,-56.54,-1,-50.742105263157896
15906,22176,-5492,14712,-2526,-716,-381,435,-104,-5819,-1.04,-58.19,-1,-50.82631578947368
15956,22196,-5940,15814,-2762,-1075,-393,275,-106,-5957,-1.06,-59.57,-1,-50.407518796992484
