ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
19908,0,-202,-276,16864,-14,4,5,5,-22
19958,0,-182,-280,16812,-3,-12,2,5,-20
20008,0,-176,-328,16806,-12,-1,3,5,-17
20058,0,-190,-332,16774,-9,-2,2,6,-13
20108,0,-164,-284,16784,-9,-3,4,5,-13
20158,0,-196,-316,16788,-9,-2,4,6,-11
20208,0,-198,-302,16782,-12,-3,3,7,-10
20258,0,-180,-328,16780,-11,-1,3,7,-8
20308,-1,-178,-272,16774,-9,-2,4,6,-9
20358,0,-186,-306,16804,-10,-3,3,7,-8
20408,0,-176,-310,16796,-10,-3,3,6,-7
20458,0,-186,-324,16762,-8,-3,4,7,-5
20508,0,-182,-308,16794,-9,-3,2,7,-5
20558,0,-176,-312,16756,-8,-2,2,6,-4
20608,0,-190,-304,16792,-10,-3,4,7,-4
20658,0,-166,-320,16784,-10,-3,3,6,-3
20708,0,-172,-308,16794,-10,-1,5,6,-3
20758,0,-182,-322,16782,-8,-4,4,6,-2
20808,0,-176,-300,16800,-10,-2,4,6,-2
20858,0,-186,-310,16786,-8,-3,2,6,-2
20908,0,-160,-302,16764,-7,-1,5,5,-3
20958,0,-166,-316,16786,-4,0,3,4,-2
21008,0,-202,-284,16554,49,18,18,6,-3
21058,4,-356,136,17198,-104,130,12,14,-25
21108,4,-188,-152,16824,-54,20,-39,14,-30
21158,5,-270,-292,15616,168,-74,21,18,-25
21208,82,-14,-104,16906,67,-45,9,8,-32
21258,1748,-34,-102,16802,12,-9,7,0,-38
21308,2647,-42,4,16814,0,1,-5,-5,-49
21358,3295,-36,-14,16808,-9,-2,5,-11,-57
21408,4155,-48,-30,16818,-5,-4,-24,-15,-63
21458,4549,6,-20,16806,-9,-2,-1,-21,-69
21508,4713,-2,-36,16830,-9,-6,-3,-26,-73
21558,4982,-8,18,16822,-9,-7,-3,-30,-79
21608,5544,-32,-54,17030,39,-49,1,-32,-80
21658,5723,80,268,16650,457,-52,2,-39,-98
21708,5507,76,364,16854,34,-10,5,-46,-118
21758,5665,94,420,16744,18,16,2,-52,-138
21808,4743,72,354,16788,-215,48,-4,-56,-151
21858,4167,-10,110,17146,-102,9,2,-55,-150
21908,4064,0,34,16824,-66,10,0,-55,-146
21958,3879,-12,26,16824,-23,3,4,-54,-141
22008,3789,8,-8,16840,-10,-5,3,-55,-136
22058,4297,-2,18,16848,-9,-2,4,-55,-132
22108,4887,-6,14,16822,-9,-1,1,-54,-129
22158,5302,-2,10,16842,-10,1,0,-54,-126
22208,5654,-22,-26,16812,-10,2,0,-53,-122
22258,5982,-12,-10,16848,-11,0,4,-53,-119
22308,6123,-2,16,16842,-10,-3,4,-53,-118
22358,6219,-6,-10,16852,-10,-2,5,-53,-116
22408,6538,-16,-8,16846,-9,-3,3,-52,-114
22458,6827,18,-8,16854,-8,-1,5,-54,-113
22508,7149,-2,-10,16842,-8,0,4,-54,-112
22558,7385,-18,-14,16852,-9,-1,3,-53,-110
22608,7646,-16,-20,16844,-8,0,4,-52,-109
22658,7957,4,-4,16858,-8,-1,5,-53,-108
22708,8425,18,4,16858,-7,-2,4,-54,-108
22758,8947,-10,-16,16866,-8,-2,6,-54,-107
22808,9653,-6,6,16858,-7,1,8,-53,-108
22858,11510,-26,0,16848,3,0,7,-52,-108
22908,14553,14,-10,16902,6,3,2,-53,-107
22958,16593,-28,34,16850,7,3,1,-52,-109
23008,18279,-26,56,16864,5,6,1,-51,-111
23058,20029,-72,84,16848,11,1,-6,-48,-115
23108,20981,-62,56,16844,8,4,-4,-46,-117
23158,21757,-34,86,16868,24,14,6,-45,-120
23208,22226,-86,148,16818,5,0,3,-42,-125
23258,22554,-72,150,16798,1,2,1,-40,-130
23308,22763,-40,92,16794,8,4,6,-40,-131
23358,22895,-40,186,16830,-9,0,5,-41,-137
23408,23041,-60,218,16878,-22,-5,0,-40,-144
23458,23149,-52,152,16832,3,2,4,-39,-146
23508,23191,-22,188,16866,-12,0,5,-40,-150
23558,23222,-54,174,16860,-15,-2,8,-40,-152
23608,23262,-72,148,16812,-12,-3,1,-38,-153
23658,23303,-26,162,16842,-10,-2,2,-39,-154
23708,23279,-36,142,16772,-10,0,1,-40,-155
23758,23293,-52,154,16822,-24,-5,1,-39,-155
23808,23281,-48,152,16868,-14,-3,2,-39,-156
23858,23266,-66,140,16874,-20,-2,2,-38,-156
23908,23276,-48,142,16820,-9,0,2,-38,-156
23958,23258,-46,116,16874,-14,-2,3,-38,-154
24008,23218,-2,100,16868,-11,2,3,-41,-152
24058,23225,-72,128,16802,-11,-4,3,-39,-152
24108,23228,-12,116,16828,-9,0,2,-41,-151
24158,23231,-52,126,16898,-9,-1,1,-40,-151
24208,23277,-38,152,16882,-9,-2,4,-40,-152
24258,23286,-46,130,16920,-10,-2,2,-40,-152
24308,23265,-58,112,16860,-7,-2,3,-39,-151
24358,23268,-56,152,16946,-10,-1,3,-39,-152
24408,23255,-40,44,16854,-9,0,1,-39,-148
24458,23203,-36,150,16852,-14,0,4,-40,-149
24508,22834,-40,118,16858,-41,-2,-1,-40,-149
24558,22073,-114,164,17042,-30,-8,6,-36,-151
24608,19891,-54,98,16968,-47,-15,15,-36,-149
24658,13286,-344,590,16960,-34,-11,-145,-22,-173
24708,4960,598,-932,16848,-42,-13,-58,-57,-116
24758,1944,-230,-62,16982,-32,-5,46,-45,-111
24808,1719,14,232,16864,-12,-1,16,-47,-122
24858,1579,6,-52,16970,-4,-2,30,-48,-117
24908,1430,62,2,16918,-13,-7,33,-53,-116
24958,1738,0,10,16964,-11,-7,2,-53,-115
25008,2010,-4,-30,16918,-10,-2,6,-53,-112
25058,2427,42,-12,16938,-11,-3,12,-55,-111
25108,2224,8,-56,16932,-8,-6,6,-56,-108
25158,2325,6,-30,16956,-9,1,4,-56,-106
25208,2306,28,-24,16942,-6,-8,4,-57,-105
25258,2453,18,-26,16928,-12,-1,5,-57,-104
25308,2682,6,-6,16932,-7,-4,3,-57,-104
25358,3005,14,-38,16908,-10,-3,3,-58,-103
25408,3233,6,-4,16936,-8,-3,3,-57,-103
25458,2888,-28,-30,16906,-9,-2,4,-56,-102
